,0,1,2,day,week
0,的    de,是    shì ,在    zài ,1,1
1,一    yī ,不    bù ,有    yǒu ,2,1
2,这    zhè ,个    gè ,上    shàng ,3,1
3,也    yě ,他    tā ,人    rén ,4,1
4,就    jiù ,对    duì ,说    shuō ,5,1
5,我    wǒ ,要    yào ,到    dào ,6,2
6,大    dà ,我们    wǒ  men,多    duō ,7,2
7,把    bǎ ,来    lái ,等    děng ,8,2
8,年    nián ,两    liǎng ,从    cóng ,9,2
9,而    ér ,能    néng ,又    yòu ,10,2
10,他们    tā  men,以    yǐ ,时    shí ,11,3
11,没有    méi  yǒu ,会    huì ,之    zhī ,12,3
12,但    dàn ,三    sān ,被    bèi ,13,3
13,很    hěn ,下    xià ,自己    zì  jǐ ,14,3
14,后    hòu ,中国    zhōng  guó ,并    bìng ,15,3
15,使    shǐ ,向    xiàng ,已    yǐ ,16,4
16,出    chū ,用    yòng ,新    xīn ,17,4
17,所    suǒ ,里    lǐ ,给    gěi ,18,4
18,她    tā ,更    gèng ,次    cì ,19,4
19,最    zuì ,于    yú ,可以    kě  yǐ ,20,4
20,可    kě ,去    qù ,由    yóu ,21,5
21,问题    wèn  tí ,小    xiǎo ,工作    gōng  zuò ,22,5
22,让    ràng ,其    qí ,你    nǐ ,23,5
23,这个    zhè  ge,生活    shēng  huó ,起    qǐ ,24,5
24,这样    zhè  yàng ,天    tiān ,它    tā ,25,5
25,高    gāo ,做    zuò ,家    jiā ,26,6
26,已经    yǐ  jing,再    zài ,或    huò ,27,6
27,才    cái ,前    qián ,走    zǒu ,28,6
28,这些    zhè  xiē ,一些    yī  xiē ,却    què ,29,6
29,二    èr ,条    tiáo ,位    wèi ,30,6
30,起来    qǐ  lái ,各    gè ,成    chéng ,31,7
31,什么    shén  me,元    yuán ,现在    xiàn  zài ,32,7
32,社会    shè  huì ,比    bǐ ,同    tóng ,33,7
33,四    sì ,关系    guān  xì ,名    míng ,34,7
34,想    xiǎng ,如    rú ,第一    dì  yī ,35,7
35,因为    yīn  wèi ,该    gāi ,开始    kāi  shǐ ,36,8
36,许多    xǔ  duō ,内    nèi ,时间    shí  jiān ,37,8
37,人们    rén  men,今天    jīn  tiān ,国家    guó  jiā ,38,8
38,本    běn ,点    diǎn ,思想    sī  xiǎng ,39,8
39,至    zhì ,此    cǐ ,一定    yī  dìng ,40,8
40,如果    rú  guǒ ,副    fù ,无    wú ,41,9
41,张    zhāng ,同时    tóng  shí ,需要    xū  yào ,42,9
42,月    yuè ,则    zé ,重要    zhòng  yào ,43,9
43,为了    wèi  le,日    rì ,老    lǎo ,44,9
44,就是    jiù  shì ,作    zuò ,五    wǔ ,45,9
45,人民    rén  mín ,事    shì ,认为    rèn  wéi ,46,10
46,成为    chéng  wéi ,像    xiàng ,北京    běi  jīng ,47,10
47,历史    lì  shǐ ,水    shuǐ ,方面    fāng  miàn ,48,10
48,情况    qíng  kuàng ,而且    ér  qiě ,党    dǎng ,49,10
49,学生    xué  shēng ,每    měi ,这里    zhè  lǐ ,50,10
50,但是    dàn  shì ,孩子    hái  zǐ ,可能    kě  néng ,51,11
51,发生    fā  shēng ,必须    bì  xū ,只有    zhǐ  yǒu ,52,11
52,外    wài ,要求    yāo  qiú ,全    quán ,53,11
53,发现    fā  xiàn ,进行    jìn  xíng ,特别    tè  bié ,54,11
54,因    yīn ,岁    suì ,得到    dé  dào ,55,11
55,件    jiàn ,文化    wén  huà ,分    fēn ,56,12
56,便    biàn ,同志    tóng  zhì ,发展    fā  zhǎn ,57,12
57,即    jí ,日本    rì  běn ,总    zǒng ,58,12
58,因此    yīn  cǐ ,对于    duì  yú ,领导    lǐng  dǎo ,59,12
59,带    dài ,既    jì ,时候    shí  hòu ,60,12
60,钱    qián ,自    zì ,政府    zhèng  fǔ ,61,13
61,吃    chī ,非    fēi ,决定    jué  dìng ,62,13
62,进    jìn ,还是    hái  shi,受    shòu ,63,13
63,国    guó ,应该    yīng  gāi ,近    jìn ,64,13
64,美    měi ,政治    zhèng  zhì ,话    huà ,65,13
65,公司    gōng  sī ,干部    gàn  bù ,出现    chū  xiàn ,66,14
66,开    kāi ,一切    yī  qiè ,研究    yán  jiū ,67,14
